dimension,function,algorithm_internal,run,best_cost
30,f3_zakharov,HPPSO_Modified,8,48758.26967169376
30,f3_zakharov,HPPSO_Modified,9,9109.566027285931
30,f3_zakharov,HPPSO_Modified,10,16007.731311210837
30,f3_zakharov,HPPSO_Modified,11,11935.220800440808
30,f3_zakharov,HPPSO_Modified,12,26663.5472796784
30,f3_zakharov,HPPSO_Modified,13,23558.850212246063
30,f3_zakharov,HPPSO_Modified,14,26327.054443030564
30,f3_zakharov,HPPSO_Modified,15,12768.593076876668
30,f3_zakharov,HPPSO_Modified,16,24804.18339591781
30,f3_zakharov,HPPSO_Modified,17,7329.6973619155915
30,f3_zakharov,HPPSO_Modified,18,28439.796982718817
30,f3_zakharov,HPPSO_Modified,19,27339.42289908946
30,f3_zakharov,GA-MPC,0,41822.647152297206
30,f3_zakharov,GA-MPC,1,64077.18930007964
30,f3_zakharov,GA-MPC,2,22341.378004081256
30,f3_zakharov,GA-MPC,3,53535.05058452796
30,f3_zakharov,GA-MPC,4,34334.72897711522
30,f3_zakharov,GA-MPC,5,26997.188120397925
30,f3_zakharov,GA-MPC,6,25898.280392950004
30,f3_zakharov,GA-MPC,7,28109.264860456246
30,f3_zakharov,GA-MPC,8,48319.18254332197
30,f3_zakharov,GA-MPC,9,60784.06408163817
30,f3_zakharov,GA-MPC,10,22213.018438122115
30,f3_zakharov,GA-MPC,11,35024.51666897887
30,f3_zakharov,GA-MPC,12,27228.40588276453
30,f3_zakharov,GA-MPC,13,47924.289291583234
30,f3_zakharov,GA-MPC,14,31535.10900919083
30,f3_zakharov,GA-MPC,15,43277.12116423312
30,f3_zakharov,GA-MPC,16,45846.09286442684
30,f3_zakharov,GA-MPC,17,33583.115509383075
30,f3_zakharov,GA-MPC,18,42720.21919711658
30,f3_zakharov,GA-MPC,19,36890.16285469039
30,f3_zakharov,GWO,0,63382.600512488425
30,f3_zakharov,GWO,1,78749.76830852618
30,f3_zakharov,GWO,2,87859.60360757695
30,f3_zakharov,GWO,3,73690.53204078988
30,f3_zakharov,GWO,4,132030.8826570328
30,f3_zakharov,GWO,5,111049.79016464156
30,f3_zakharov,GWO,6,84344.03423756069
30,f3_zakharov,GWO,7,97981.79272192378
30,f3_zakharov,GWO,8,89326.8400542213
30,f3_zakharov,GWO,9,95302.02487142132
30,f3_zakharov,GWO,10,94072.14273310511
30,f3_zakharov,GWO,11,117703.30875448171
30,f3_zakharov,GWO,12,87440.70309249533
30,f3_zakharov,GWO,13,91746.51569516085
30,f3_zakharov,GWO,14,108926.28662651195
30,f3_zakharov,GWO,15,76177.70019589095
30,f3_zakharov,GWO,16,65614.17700742964
30,f3_zakharov,GWO,17,99829.46586163924
30,f3_zakharov,GWO,18,124835.09423436594
30,f3_zakharov,GWO,19,71076.621084948
30,f3_zakharov,SHADE,0,5311.140227793211
30,f3_zakharov,SHADE,1,43302.45246060349
30,f3_zakharov,SHADE,2,8590.601568147129
30,f3_zakharov,SHADE,3,9113.664189339544
30,f3_zakharov,SHADE,4,8146.560128706593
30,f3_zakharov,SHADE,5,17578.673049753
30,f3_zakharov,SHADE,6,7382.099871933227
30,f3_zakharov,SHADE,7,3970.712295986006
30,f3_zakharov,SHADE,8,5589.776119014736
30,f3_zakharov,SHADE,9,18322.25157174712
30,f3_zakharov,SHADE,10,2000.8691606159375
30,f3_zakharov,SHADE,11,4545.293973956796
30,f3_zakharov,SHADE,12,6324.872277586407
30,f3_zakharov,SHADE,13,8652.892502415538
30,f3_zakharov,SHADE,14,13701.090985723695
